"recommendation_id","student_id","recommendation_description","activity_id","provider_id"
152001,1,"Robotics Club",8,3
152002,1,"Web Design",12,4
152003,1,"Game Development",11,4
152004,1,"Coding Bootcamp",10,4
152005,1,"Astronomy Nights",9,3
152006,2,"Robotics Club",8,3
152007,2,"Web Design",12,4
152008,2,"Game Development",11,4
152009,2,"Coding Bootcamp",10,4
152010,2,"Astronomy Nights",9,3
152011,3,"Web Design",12,4
152012,3,"Game Development",11,4
152013,3,"Coding Bootcamp",10,4
152014,3,"Astronomy Nights",9,3
152015,3,"Robotics Club",8,3
152016,4,"Science Experiments",7,3
152017,4,"Astronomy Nights",9,3
152018,4,"Web Design",12,4
152019,4,"Game Development",11,4
152020,4,"Coding Bootcamp",10,4
152021,5,"Science Experiments",7,3
152022,5,"Astronomy Nights",9,3
152023,5,"Web Design",12,4
152024,5,"Game Development",11,4
152025,5,"Coding Bootcamp",10,4
152026,6,"Robotics Club",8,3
152027,6,"Web Design",12,4
152028,6,"Game Development",11,4
152029,6,"Coding Bootcamp",10,4
152030,6,"Astronomy Nights",9,3
152031,7,"Robotics Club",8,3
152032,7,"Drawing Classes",2,1
152033,7,"Clay Modeling",1,1
152034,7,"Web Design",12,4
152035,7,"Game Development",11,4
152036,8,"Science Experiments",7,3
152037,8,"Robotics Club",8,3
152038,8,"Astronomy Nights",9,3
152039,8,"Web Design",12,4
152040,8,"Game Development",11,4
152041,9,"Robotics Club",8,3
152042,9,"Web Design",12,4
152043,9,"Game Development",11,4
152044,9,"Coding Bootcamp",10,4
152045,9,"Astronomy Nights",9,3
152046,10,"Robotics Club",8,3
152047,10,"Web Design",12,4
152048,10,"Game Development",11,4
152049,10,"Coding Bootcamp",10,4
152050,10,"Astronomy Nights",9,3
152051,11,"Robotics Club",8,3
152052,11,"Web Design",12,4
152053,11,"Game Development",11,4
152054,11,"Coding Bootcamp",10,4
152055,11,"Astronomy Nights",9,3
152056,12,"Robotics Club",8,3
152057,12,"Coding Bootcamp",10,4
152058,12,"Web Design",12,4
152059,12,"Game Development",11,4
152060,12,"Astronomy Nights",9,3
152061,13,"Robotics Club",8,3
152062,13,"Guitar Classes",5,2
152063,13,"Violin Training",6,2
152064,13,"Piano Lessons",4,2
152065,13,"Web Design",12,4
152066,14,"Robotics Club",8,3
152067,14,"Web Design",12,4
152068,14,"Game Development",11,4
152069,14,"Coding Bootcamp",10,4
152070,14,"Astronomy Nights",9,3
152071,15,"Robotics Club",8,3
152072,15,"Guitar Classes",5,2
152073,15,"Violin Training",6,2
152074,15,"Piano Lessons",4,2
152075,15,"Web Design",12,4
152076,16,"Robotics Club",8,3
152077,16,"Web Design",12,4
152078,16,"Game Development",11,4
152079,16,"Coding Bootcamp",10,4
152080,16,"Astronomy Nights",9,3
152081,17,"Robotics Club",8,3
152082,17,"Science Experiments",7,3
152083,17,"Astronomy Nights",9,3
152084,17,"Guitar Classes",5,2
152085,17,"Violin Training",6,2
152086,18,"Web Design",12,4
152087,18,"Game Development",11,4
152088,18,"Coding Bootcamp",10,4
152089,18,"Astronomy Nights",9,3
152090,18,"Robotics Club",8,3
152091,19,"Robotics Club",8,3
152092,19,"Coding Bootcamp",10,4
152093,19,"Game Development",11,4
152094,19,"Web Design",12,4
152095,19,"Astronomy Nights",9,3
152096,20,"Robotics Club",8,3
152097,20,"Web Design",12,4
152098,20,"Game Development",11,4
152099,20,"Coding Bootcamp",10,4
152100,20,"Astronomy Nights",9,3
152101,21,"Robotics Club",8,3
152102,21,"Coding Bootcamp",10,4
152103,21,"Web Design",12,4
152104,21,"Game Development",11,4
152105,21,"Astronomy Nights",9,3
152106,22,"Web Design",12,4
