studentid,name,academicinterest,extracurricularactivities,skills,location,yearofstudy,major,gpa,languages,clubmemberships,researchinterests
1,Student 1,Psychology,Debate Club,Problem Solving,New York,Freshman,Psychology,3.27,"Chinese, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team",Biomedical Engineering
2,Student 2,Psychology,Debate Club,"Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Boston,Graduate,Physics,3.17,"Chinese, English, French, Japanese, Spanish","Art Club, Coding Club, Music Club, Sports Team",Urban Planning
3,Student 3,History,Volunteer Group,"Artistic, Data Analysis, Leadership, Problem Solving, Public Speaking",Chicago,Junior,Biology,2.09,"French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Nanotechnology
4,Student 4,Computer Science,Volunteer Group,"Data Analysis, Problem Solving, Public Speaking",Chicago,Graduate,Biology,2.56,"Chinese, French, Japanese, Spanish","Sports Team, Volunteer Group",Space Exploration
5,Student 5,Computer Science,Sports Team,Data Analysis,Chicago,Graduate,Computer Science,2.01,English,"Music Club, Sports Team, Volunteer Group",Climate Change
6,Student 6,Biology,Debate Club,"Artistic, Public Speaking",Chicago,Junior,History,2.99,Japanese,"Art Club, Coding Club, Volunteer Group",Machine Learning
7,Student 7,History,Art Club,"Artistic, Data Analysis, Problem Solving, Public Speaking",New York,Senior,Psychology,3.35,"Chinese, English, German, Spanish","Debate Club, Music Club, Sports Team",Cybersecurity
8,Student 8,Computer Science,Volunteer Group,"Artistic, Leadership, Programming, Public Speaking",Houston,Junior,Psychology,3.64,"Chinese, Japanese, Spanish","Art Club, Coding Club, Debate Club, Volunteer Group",Environmental Sustainability
9,Student 9,Mathematics,Sports Team,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",New York,Senior,Mathematics,2.9699999999999998,"Chinese, English, German, Japanese",Music Club,Bioinformatics
10,Student 10,Biology,Sports Team,"Data Analysis, Leadership, Problem Solving, Programming",Los Angeles,Junior,History,3.03,"Chinese, German, Spanish","Coding Club, Music Club, Volunteer Group",Social Sciences
11,Student 11,Psychology,Sports Team,"Artistic, Data Analysis, Leadership, Programming",New York,Freshman,Psychology,3.02,"English, French, German, Spanish","Art Club, Coding Club, Sports Team",Social Sciences
12,Student 12,Mathematics,Coding Club,"Leadership, Problem Solving, Programming, Public Speaking",San Francisco,Freshman,Biology,3.96,German,"Debate Club, Sports Team",Quantum Computing
13,Student 13,Physics,Music Club,"Artistic, Problem Solving, Programming",New York,Junior,Mathematics,2.98,"Chinese, English, French, German, Japanese, Spanish","Art Club, Debate Club, Music Club, Sports Team, Volunteer Group",Machine Learning
14,Student 14,History,Sports Team,"Artistic, Problem Solving, Programming",Boston,Freshman,Biology,2.48,Japanese,"Art Club, Debate Club, Music Club",Cognitive Psychology
15,Student 15,History,Music Club,"Artistic, Data Analysis, Problem Solving, Public Speaking",Chicago,Senior,Computer Science,2.54,German,"Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Biomedical Engineering
